id,name,korean_name,yearpublished,average,rating,weight,usersrated,recommended_players,thumbnail,rank
224517,Brass: Birmingham,브라스: 버밍엄,2018,8.57194,8.39915,3.868,54863.0,2|3|4,https://cf.geekdo-images.com/x3zxjr-Vw5iU4yDPg70Jgw__small/img/o18rjEemoWaVru9Y2TyPwuIaRfE=/fit-in/200x150/filters:strip_icc()/pic3490053.jpg,1
161936,Pandemic Legacy: Season 1,팬데믹 레거시: 시즌 1,2015,8.50893,8.35472,2.8282,56456.0,2|3|4,https://cf.geekdo-images.com/-Qer2BBPG7qGGDu6KcVDIw__small/img/NQQcjS31TO0DE246N9rpt0hd9eo=/fit-in/200x150/filters:strip_icc()/pic2452831.png,2
342942,Ark Nova,아크 노바,2021,8.54073,8.35262,3.7885,56344.0,1|2|3,https://cf.geekdo-images.com/SoU8p28Sk1s8MSvoM4N8pQ__small/img/4KuHNTWSMPf8vTNDKSRMMI3oOv8=/fit-in/200x150/filters:strip_icc()/pic6293412.jpg,3
174430,Gloomhaven,글룸헤이븐,2017,8.55214,8.31292,3.9133,65904.0,1|2|3|4,https://cf.geekdo-images.com/sZYp_3BTDGjh2unaZfZmuA__small/img/veqFeP4d_3zNhFc3GNBkV95rBEQ=/fit-in/200x150/filters:strip_icc()/pic2437871.jpg,4
316554,Dune: Imperium,듄: 임페리움,2020,8.41446,8.22315,3.07,55263.0,1|2|3|4,https://cf.geekdo-images.com/PhjygpWSo-0labGrPBMyyg__small/img/JGgY-nBmkyB8WRp8vcoBLlNMQ5U=/fit-in/200x150/filters:strip_icc()/pic5666597.jpg,5
233078,Twilight Imperium: Fourth Edition,여명의 제국,2017,8.56762,8.22204,4.3433,27155.0,3|4|5|6,https://cf.geekdo-images.com/_Ppn5lssO5OaildSE-FgFA__small/img/lfEukJE0JsoZZObaF9K9YnFp62E=/fit-in/200x150/filters:strip_icc()/pic3727516.jpg,6
115746,War of the Ring: Second Edition,반지 전쟁,2011,8.54931,8.19414,4.2229,24123.0,2,https://cf.geekdo-images.com/ImPgGag98W6gpV1KV812aA__small/img/X-lBBdG4uO6LT0y1vXxCN4jdR4M=/fit-in/200x150/filters:strip_icc()/pic1215633.jpg,7
167791,Terraforming Mars,테라포밍 마스,2016,8.34311,8.19349,3.2659,109375.0,1|2|3|4,https://cf.geekdo-images.com/wg9oOLcsKvDesSUdZQ4rxw__small/img/BTxqxgYay5tHJfVoJ2NF5g43_gA=/fit-in/200x150/filters:strip_icc()/pic3536616.jpg,8
397598,Dune: Imperium – Uprising,듄 임페리움: 봉기,2023,8.7034,8.18423,3.5032,14905.0,1|2|3|4|6,https://cf.geekdo-images.com/UVUkjMV_Q2paVUIUP30Vvw__small/img/H6qmxJrRFjtOAPZOfDoZ480-46I=/fit-in/200x150/filters:strip_icc()/pic7664424.jpg,9
187645,Star Wars: Rebellion,스타워즈: 리벨리온,2016,8.41889,8.16902,3.7472,35401.0,2,https://cf.geekdo-images.com/7SrPNGBKg9IIsP4UQpOi8g__small/img/gAxzddRVQiRdjZHYFUZ2xc5Jlbw=/fit-in/200x150/filters:strip_icc()/pic4325841.jpg,10
162886,Spirit Island,정령섬,2017,8.33954,8.1415,4.0773,59973.0,1|2|3|4,https://cf.geekdo-images.com/kjCm4ZvPjIZxS-mYgSPy1g__small/img/aUlIih2_R7P8IYKeyNl2heLQbu8=/fit-in/200x150/filters:strip_icc()/pic7013651.jpg,11
291457,Gloomhaven: Jaws of the Lion,글룸헤이븐: 사자의 턱,2020,8.37652,8.11178,3.6328,39385.0,1|2|3|4,https://cf.geekdo-images.com/_HhIdavYW-hid20Iq3hhmg__small/img/OMkN_E5eyWrkID_cHCnQEbIixGM=/fit-in/200x150/filters:strip_icc()/pic5055631.jpg,12
220308,Gaia Project,가이아 프로젝트,2017,8.35611,8.09131,4.4008,30271.0,1|2|3|4,https://cf.geekdo-images.com/hGWFm3hbMlCDsfCsauOQ4g__small/img/NNG7Ijyx4evp5gcVReis9i0koas=/fit-in/200x150/filters:strip_icc()/pic5375625.png,13
12333,Twilight Struggle,황혼의 투쟁,2005,8.2329,8.04714,3.6136,51220.0,2,https://cf.geekdo-images.com/pNCiUUphnoeWOYfsWq0kng__small/img/p7alNkNy8Avm8UISmhYHCiMz5bE=/fit-in/200x150/filters:strip_icc()/pic3530661.jpg,14
182028,Through the Ages: A New Story of Civilization,쓰루 디 에이지스: 새로운 인류 문명 발전 대서사시,2015,8.25544,8.02376,4.4392,34071.0,2|3|4,https://cf.geekdo-images.com/fVwPntkJKgaEo0rIC0RwpA__small/img/31usGlzlBReEFf60bcgbvDTjwCg=/fit-in/200x150/filters:strip_icc()/pic2663291.jpg,15
