id,name,average,weight,usersrated,rank
224517,Brass: Birmingham,8.57518,3.8687,53400.0,1
161936,Pandemic Legacy: Season 1,8.51174,2.8295,56048.0,2
342942,Ark Nova,8.53854,3.7875,54328.0,3
174430,Gloomhaven,8.55738,3.9156,65384.0,4
233078,Twilight Imperium: Fourth Edition,8.57207,4.3356,26622.0,5
316554,Dune: Imperium,8.41782,3.0669,53870.0,6
167791,Terraforming Mars,8.34727,3.2662,107848.0,7
115746,War of the Ring: Second Edition,8.54775,4.2235,23688.0,8
187645,Star Wars: Rebellion,8.41788,3.7461,34961.0,9
397598,Dune: Imperium – Uprising,8.70855,3.5046,13353.0,10
162886,Spirit Island,8.33981,4.0774,58751.0,11
291457,Gloomhaven: Jaws of the Lion,8.38328,3.6374,38572.0,12
220308,Gaia Project,8.35995,4.4,29820.0,13
12333,Twilight Struggle,8.23505,3.6128,50873.0,14
182028,Through the Ages: A New Story of Civilization,8.26116,4.4408,33698.0,15
84876,The Castles of Burgundy,8.15141,2.9721,66721.0,16
193738,Great Western Trail,8.16402,3.6967,42804.0,17
246900,Eclipse: Second Dawn for the Galaxy,8.40812,3.6508,15977.0,18
169786,Scythe,8.11608,3.4508,89698.0,19
28720,Brass: Lancashire,8.19805,3.851,26371.0,20
173346,7 Wonders Duel,8.08477,2.2257,103591.0,21
295770,Frosthaven,8.77356,4.4064,8992.0,22
167355,Nemesis,8.2546,3.4828,34750.0,23
266507,Clank! Legacy: Acquisitions Incorporated,8.51259,2.7358,10656.0,24
177736,A Feast for Odin,8.16613,3.8617,31625.0,25
124361,Concordia,8.08381,2.9877,43375.0,26
341169,Great Western Trail: Second Edition,8.28455,3.7105,16050.0,27
312484,Lost Ruins of Arnak,8.07116,2.9314,51807.0,28
205637,Arkham Horror: The Card Game,8.12581,3.5594,46176.0,29
237182,Root,8.0701,3.8287,59250.0,30
421006,The Lord of the Rings: Duel for Middle-earth,8.37809,2.0641,12691.0,31
192135,Too Many Bones,8.31514,3.8648,15844.0,32
120677,Terra Mystica,8.03934,3.9757,49901.0,33
373106,Sky Team,8.15549,2.0451,23308.0,34
266192,Wingspan,8.01419,2.4743,105480.0,35
164928,Orléans,8.04834,3.0147,34081.0,36
338960,Slay the Spire: The Board Game,8.68936,2.9059,8013.0,37
418059,SETI: Search for Extraterrestrial Intelligence,8.39344,3.7783,11643.0,38
96848,Mage Knight Board Game,8.08058,4.371,34483.0,39
251247,Barrage,8.14614,4.1172,20169.0,40
324856,The Crew: Mission Deep Sea,8.08107,2.039,22602.0,41
199792,Everdell,7.99714,2.8261,63363.0,42
183394,Viticulture Essential Edition,7.96941,2.8934,52831.0,43
321608,Hegemony: Lead Your Class to Victory,8.41924,4.2239,10133.0,44
366013,Heat: Pedal to the Metal,8.01453,2.1988,34268.0,45
285774,Marvel Champions: The Card Game,8.11268,2.9481,26327.0,46
521,Crokinole,8.05494,1.2233,20001.0,47
284378,Kanban EV,8.39034,4.2962,9246.0,48
175914,Food Chain Magnate,8.04229,4.1896,22009.0,49
247763,Underwater Cities,8.04557,3.5809,21705.0,50
256960,Pax Pamir: Second Edition,8.14187,3.8476,16334.0,51
3076,Puerto Rico,7.90333,3.2683,73009.0,52
253344,Cthulhu: Death May Die,8.18831,2.487,15409.0,53
295947,Cascadia,7.91253,1.8508,49159.0,54
184267,On Mars,8.1705,4.6306,14048.0,55
314040,Pandemic Legacy: Season 0,8.35594,3.1637,8907.0,56
102794,Caverna: The Cave Farmers,7.93114,3.7737,36470.0,57
185343,Anachrony,8.05361,4.0,20536.0,58
383179,Age of Innovation,8.52067,4.2609,7043.0,59
170216,Blood Rage,7.90872,2.884,50115.0,60
31260,Agricola,7.86406,3.6345,75248.0,61
251661,Oathsworn: Into the Deepwood,8.82391,3.6852,6163.0,62
161533,Lisboa,8.17553,4.5703,12219.0,63
255984,Sleeping Gods,8.1311,3.2521,14567.0,64
231733,Obsession,8.09069,3.096,15983.0,65
182874,Grand Austria Hotel,7.95793,3.2018,23476.0,66
221107,Pandemic Legacy: Season 2,8.01883,3.2478,17806.0,67
365717,Clank!: Catacombs,8.25239,2.5022,10481.0,68
205059,Mansions of Madness: Second Edition,7.92564,2.6991,38900.0,69
126163,Tzolk'in: The Mayan Calendar,7.84998,3.6644,41282.0,70
2651,Power Grid,7.80167,3.2488,68008.0,71
414317,Harmonies,8.02669,2.0,19645.0,72
244521,Quacks,7.80777,1.9403,55724.0,73
216132,Clans of Caledonia,7.93511,3.4667,21605.0,74
266810,Paladins of the West Kingdom,7.96423,3.7143,19547.0,75
35677,Le Havre,7.83833,3.7088,33092.0,76
125153,The Gallerist,8.01198,4.2191,15813.0,77
