new_rank,original_rank,id,name,yearpublished,recommended_players,weight,average,rating_difference,bayes_new_rating,rating_change
1,2,161936,Pandemic Legacy: Season 1,2015,2|3|4,2.8295,8.51159,1.16,8.25962,-0.26
2,47,521,Crokinole,1876,2|4,1.2233,8.05533,1.27,8.19122,0.13
3,21,173346,7 Wonders Duel,2015,2,2.2258,8.08428,0.95,8.09055,0.0
4,31,421006,The Lord of the Rings: Duel for Middle-earth,2024,2,2.0635,8.37529,1.29,8.08718,-0.29
5,6,316554,Dune: Imperium,2020,1|2|3|4,3.0672,8.41762,0.99,8.08573,-0.34
6,34,373106,Sky Team,2023,2,2.0407,8.15364,1.08,8.05739,-0.1
7,54,295947,Cascadia,2021,1|2|3|4,1.8513,7.91269,0.91,7.99776,0.08
8,7,167791,Terraforming Mars,2016,1|2|3|4,3.2667,8.34669,0.85,7.99503,-0.36
9,41,324856,The Crew: Mission Deep Sea,2021,3|4|5,2.0388,8.08134,1.01,7.98365,-0.1
10,1,224517,Brass: Birmingham,2018,2|3|4,3.8692,8.57484,0.87,7.96791,-0.61
11,3,342942,Ark Nova,2021,1|2|3,3.7881,8.53888,0.86,7.962,-0.58
12,101,291453,SCOUT,2019,3|4|5,1.3769,7.81281,0.97,7.95759,0.14
13,10,397598,Dune: Imperium – Uprising,2023,1|2|3|4|6,3.5034,8.70734,1.13,7.95584,-0.76
14,4,174430,Gloomhaven,2017,1|2|3|4,3.9153,8.55716,0.83,7.95143,-0.61
15,45,366013,Heat: Pedal to the Metal,2022,1|2|3|4|5|6,2.1977,8.01353,0.89,7.93805,-0.08
16,35,266192,Wingspan,2019,1|2|3|4,2.4733,8.01378,0.79,7.93787,-0.08
17,24,266507,Clank! Legacy: Acquisitions Incorporated,2019,2|3|4,2.7358,8.51124,1.2,7.93444,-0.58
18,155,254640,Just One,2018,4|5|6|7,1.0349,7.59929,0.88,7.91986,0.32
19,72,414317,Harmonies,2024,1|2|3|4,2.0017,8.0259,0.97,7.91771,-0.11
20,37,338960,Slay the Spire: The Board Game,2024,1|2|3|4,2.9119,8.68987,1.31,7.91463,-0.78
21,90,230802,Azul,2017,2|3|4,1.7728,7.72637,0.75,7.89292,0.16
22,73,244521,Quacks,2018,2|3|4,1.9396,7.80805,0.77,7.87846,0.07
23,16,84876,The Castles of Burgundy,2011,2|3|4,2.9725,8.15172,0.75,7.87731,-0.28
24,156,178900,Codenames,2015,4|5|6|7|8,1.2587,7.53233,0.73,7.87676,0.34
25,53,253344,Cthulhu: Death May Die,2019,1|2|3|4,2.486,8.18893,0.96,7.85074,-0.34
26,12,291457,Gloomhaven: Jaws of the Lion,2020,1|2|3|4,3.6369,8.38247,0.75,7.82795,-0.56
27,85,284083,The Crew: The Quest for Planet Nine,2019,3|4|5,1.9599,7.77149,0.73,7.81961,0.04
28,9,187645,Star Wars: Rebellion,2016,2,3.7463,8.41792,0.75,7.81361,-0.61
29,139,163412,Patchwork,2014,2,1.5989,7.58491,0.67,7.79456,0.2
30,28,312484,Lost Ruins of Arnak,2020,1|2|3|4,2.9309,8.07152,0.69,7.79445,-0.28
31,115,225694,Decrypto,2018,4|5|6|7|8,1.8333,7.76673,0.77,7.78161,0.01
32,68,365717,Clank!: Catacombs,2022,2|3|4,2.5043,8.24944,1.02,7.77746,-0.48
33,42,199792,Everdell,2018,1|2|3|4,2.8267,7.99689,0.65,7.77275,-0.23
34,26,124361,Concordia,2013,2|3|4|5,2.9877,8.08377,0.68,7.77068,-0.32
35,114,364073,Splendor Duel,2022,2,2.0056,7.89199,0.83,7.75043,-0.15
36,78,390092,Ticket to Ride Legacy: Legends of the West,2023,3|4|5,2.5818,8.66865,1.41,7.75013,-0.92
37,46,285774,Marvel Champions: The Card Game,2019,1|2|3,2.9471,8.11298,0.73,7.74813,-0.37
38,23,167355,Nemesis,2018,1|2|3|4|5,3.4825,8.25401,0.68,7.74467,-0.51
39,5,233078,Twilight Imperium: Fourth Edition,2017,3|4|5|6,4.3379,8.57161,0.7,7.72708,-0.85
40,94,201808,Clank!: A Deck-Building Adventure,2016,2|3|4,2.23,7.76744,0.63,7.72468,-0.05
41,199,54043,Jaipur,2009,2,1.4631,7.48328,0.61,7.72464,0.24
42,8,115746,War of the Ring: Second Edition,2011,2,4.2247,8.54813,0.72,7.72238,-0.83
43,14,12333,Twilight Struggle,2005,2,3.613,8.2348,0.62,7.72174,-0.52
44,121,217372,The Quest for El Dorado,2017,2|3|4,1.9413,7.70703,0.67,7.71502,0.0
45,252,165722,KLASK,2014,2,1.0498,7.62909,0.9,7.7129,0.08
46,43,183394,Viticulture Essential Edition,2015,1|2|3|4|5,2.8936,7.96914,0.6,7.70977,-0.26
47,69,205059,Mansions of Madness: Second Edition,2016,1|2|3|4|5,2.6991,7.92521,0.62,7.7038,-0.23
48,36,164928,Orléans,2014,2|3|4,3.0147,8.04835,0.64,7.70143,-0.35
49,19,169786,Scythe,2016,1|2|3|4|5,3.4507,8.11526,0.55,7.69694,-0.42
50,18,246900,Eclipse: Second Dawn for the Galaxy,2020,2|3|4|5|6,3.6538,8.409,0.78,7.69513,-0.72
51,84,209010,Mechs vs. Minions,2016,2|3|4,2.4551,7.96042,0.74,7.69344,-0.27
52,11,162886,Spirit Island,2017,1|2|3|4,4.0781,8.33962,0.56,7.67826,-0.67
53,272,318977,MicroMacro: Crime City,2020,1|2|3,1.1013,7.4658,0.72,7.67552,0.2
54,62,251661,Oathsworn: Into the Deepwood,2022,1|2|3|4,3.6863,8.82139,1.18,7.66899,-1.16
55,87,240980,Blood on the Clocktower,2022,7|8|9|10|11|12|13|14|15|16,3.049,8.37235,0.95,7.65913,-0.72
56,106,277659,Final Girl,2021,1,2.7368,8.24144,0.93,7.65661,-0.59
57,109,68448,7 Wonders,2010,3|4|5|6|7,2.3147,7.66933,0.5,7.65538,-0.02
58,60,170216,Blood Rage,2015,3|4,2.883,7.90836,0.54,7.65051,-0.26
59,95,366161,Wingspan Asia,2022,1|2,2.6695,8.23563,0.94,7.64308,-0.6
